pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
1,1,commute,FakeBrisbane,16,925.09375,0,0,20
2,1,commute,FakeBrisbane,16,56.96666666666667,12.5,0,19
2,1,commute,FakeBrisbane,16,66.85,0,0,19
2,1,commute,FakeBrisbane,16,89.03693181818181,0,0,18
2,1,commute,FakeBrisbane,16,59.38920454545455,18.75,6.25,17
2,1,commute,FakeBrisbane,16,57.144396551724135,18.75,6.25,21
2,1,commute,FakeBrisbane,16,40.0323275862069,25.0,18.75,25
0,1,commute,FakeBrisbane,64,18.229567307692307,67.1875,51.5625,18
0,1,commute,FakeBrisbane,64,23.046875,64.0625,50.0,22
0,1,commute,FakeBrisbane,64,18.809375,59.375,12.5,20
0,1,commute,FakeBrisbane,64,23.376041666666666,56.25,12.5,22
0,1,commute,FakeBrisbane,64,28.26875,65.625,53.125,20
0,1,commute,FakeBrisbane,64,40.759375,45.3125,37.5,20
1,1,commute,FakeBrisbane,64,1034.625,1.5625,0,23
1,1,commute,FakeBrisbane,64,828.375,3.125,1.5625,24
1,1,commute,FakeBrisbane,64,856.40625,3.125,1.5625,19
1,1,commute,FakeBrisbane,64,872.09375,3.125,0,21
1,1,commute,FakeBrisbane,64,931.3984375,3.125,1.5625,24
1,1,commute,FakeBrisbane,64,800.2265625,0,0,21
2,1,commute,FakeBrisbane,64,60.2546875,4.6875,0,18
2,1,commute,FakeBrisbane,64,54.7546875,17.1875,0,23
2,1,commute,FakeBrisbane,64,52.71448863636363,15.625,9.375,24
2,1,commute,FakeBrisbane,64,50.34517045454545,17.1875,14.0625,21
2,1,commute,FakeBrisbane,64,60.71120689655172,20.3125,10.9375,24
2,1,commute,FakeBrisbane,64,51.61745689655172,12.5,7.8125,21
0,1,commute,FakeBrisbane,256,20.99639423076923,65.234375,54.296875,24
0,1,commute,FakeBrisbane,256,26.21033653846154,53.90625,41.015625,26
0,1,commute,FakeBrisbane,256,18.535677083333333,59.375,12.5,23
0,1,commute,FakeBrisbane,256,19.633072916666666,60.15625,14.84375,35
0,1,commute,FakeBrisbane,256,26.9625,60.546875,47.265625,25
0,1,commute,FakeBrisbane,256,27.93515625,60.15625,43.75,28
1,1,commute,FakeBrisbane,256,818.990234375,4.6875,2.34375,23
