pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
7,6,28,16,cyclic,435.440576171875,36.240234375,0.029296875,144.4
7,6,28,16,penalty,2683.684912109375,0.009765625,0.0,126.1
7,7,28,16,HEA,3834.2830078125,0.0,0.0,151.0
7,7,28,16,commute,0.502685546875,100.0,13.90625,130.8
7,7,28,16,cyclic,500.637939453125,37.109375,0.0,145.1
7,7,28,16,penalty,2365.513525390625,0.029296875,0.01953125,142.5
8,1,8,6,HEA,14.868635344034706,49.86328125,29.951171875,151.0
8,1,8,6,commute,0.13603876023065473,100.0,56.30859375,27.6
8,1,8,6,cyclic,0.2891144242442042,99.94140625,30.0,24.8
8,1,8,6,penalty,54.309995048226824,6.162109375,1.435546875,30.9
8,2,8,6,HEA,41.53597432235308,1.73828125,1.42578125,151.0
8,2,8,6,commute,0.12044295010911991,100.0,63.505859375,49.9
8,2,8,6,cyclic,24.918951286941752,29.443359375,17.978515625,53.1
8,2,8,6,penalty,57.864927018110095,5.849609375,1.220703125,54.6
8,3,8,6,HEA,50.963351397060535,12.6171875,5.0390625,151.0
8,3,8,6,commute,0.10016745916866701,100.0,69.04296875,68.5
8,3,8,6,cyclic,25.574551595713576,26.26953125,6.396484375,72.1
8,3,8,6,penalty,62.18042857486834,3.92578125,0.830078125,71.0
8,4,8,6,HEA,58.376517650426216,4.6484375,1.181640625,151.0
8,4,8,6,commute,0.06830736625003171,100.0,80.25390625,84.4
8,4,8,6,cyclic,27.41842638244815,20.17578125,2.9296875,97.4
8,4,8,6,penalty,56.678937980012584,5.810546875,1.73828125,95.8
8,5,8,6,HEA,58.935638822728535,5.15625,1.3671875,151.0
8,5,8,6,commute,0.04300138940044365,100.0,87.822265625,105.3
8,5,8,6,cyclic,27.725974042045305,25.439453125,8.2421875,118.4
8,5,8,6,penalty,59.425947221801074,3.37890625,1.23046875,110.7
8,6,8,6,HEA,62.47169389687135,2.63671875,0.8203125,151.0
8,6,8,6,commute,0.04233954191062536,100.0,88.837890625,131.1
8,6,8,6,cyclic,35.118117019745306,13.720703125,4.267578125,136.5
8,6,8,6,penalty,55.88531661465345,4.921875,3.134765625,127.4
8,7,8,6,HEA,59.37689292712885,4.462890625,1.03515625,151.0
8,7,8,6,commute,0.02637286129306583,100.0,91.630859375,144.2
8,7,8,6,cyclic,32.273939307960305,18.037109375,5.986328125,148.2
8,7,8,6,penalty,53.783870868379246,5.17578125,1.66015625,147.6
9,1,18,9,HEA,74.91073953830792,0.009765625,0.009765625,151.0
9,1,18,9,commute,0.17781531126773528,100.0,31.201171875,23.5
9,1,18,9,cyclic,0.24708484960604907,99.98046875,10.0,24.2
9,1,18,9,penalty,119.64477489824601,0.166015625,0.01953125,29.0
9,2,18,9,HEA,113.00319900453135,0.107421875,0.009765625,151.0
9,2,18,9,commute,0.1467261453577528,100.0,32.333984375,51.3
9,2,18,9,cyclic,0.2631431782327636,99.833984375,9.990234375,52.2
9,2,18,9,penalty,104.04638832630731,0.09765625,0.0,49.4
9,3,18,9,HEA,124.22946316881834,0.05859375,0.0,151.0
9,3,18,9,commute,0.08610154919989646,100.0,37.28515625,70.4
9,3,18,9,cyclic,21.275786926886685,40.15625,9.931640625,71.4
9,3,18,9,penalty,98.84550933168443,0.068359375,0.009765625,67.7
9,4,18,9,HEA,129.06232993176934,0.048828125,0.029296875,151.0
9,4,18,9,commute,0.10568883286054861,100.0,39.716796875,85.8
9,4,18,9,cyclic,18.48482525441069,69.755859375,0.048828125,95.6
9,4,18,9,penalty,92.43775183441542,0.087890625,0.0,86.7
9,5,18,9,HEA,128.98629211137978,0.009765625,0.0,151.0
9,5,18,9,commute,0.10984635758078065,100.0,41.9921875,105.7
9,5,18,9,cyclic,14.026180373953446,69.541015625,0.01953125,120.1
9,5,18,9,penalty,92.0765981843659,0.078125,0.009765625,108.5
9,6,18,9,HEA,131.13571406316342,0.01953125,0.009765625,151.0
9,6,18,9,commute,0.086454858849315,100.0,50.615234375,123.6
9,6,18,9,cyclic,25.286337570654887,49.033203125,0.048828125,129.7
9,6,18,9,penalty,106.66182334067503,0.05859375,0.0,115.4
9,7,18,9,HEA,129.59692960391766,0.0390625,0.0,151.0
9,7,18,9,commute,0.09697128172032002,100.0,36.6796875,136.9
9,7,18,9,cyclic,37.78508717655597,39.326171875,9.4140625,140.2
9,7,18,9,penalty,117.9356043291513,0.048828125,0.009765625,134.7
10,1,24,11,HEA,107.11603979044756,0.0,0.0,151.0
10,1,24,11,commute,0.2423562715531496,100.0,3.642578125,23.7
10,1,24,11,cyclic,0.29438621511486296,100.0,0.0,24.3
10,1,24,11,penalty,155.65106099212852,0.01953125,0.009765625,30.9
10,2,24,11,HEA,157.43874631178574,0.0,0.0,151.0
10,2,24,11,commute,0.19699145803580823,100.0,11.2890625,47.0
10,2,24,11,cyclic,1.7492666593387294,89.82421875,9.970703125,48.6
10,2,24,11,penalty,141.84892950677823,0.0,0.0,48.5
10,3,24,11,HEA,161.65609992257896,0.009765625,0.0,151.0
10,3,24,11,commute,0.19925025052999218,100.0,9.716796875,68.6
10,3,24,11,cyclic,1.7529706558979168,89.482421875,0.0,73.1
10,3,24,11,penalty,135.13154597351883,0.009765625,0.0,65.2
10,4,24,11,HEA,163.9912480421783,0.0,0.0,151.0
10,4,24,11,commute,0.1996987907283934,100.0,12.87109375,86.7
10,4,24,11,cyclic,6.328203315238149,79.74609375,0.0,93.2
10,4,24,11,penalty,120.50538262038665,0.009765625,0.0,85.6
10,5,24,11,HEA,164.9935702173547,0.009765625,0.009765625,151.0
10,5,24,11,commute,0.2279606498248933,100.0,17.28515625,107.1
10,5,24,11,cyclic,19.338573546756837,69.736328125,0.0,114.1
10,5,24,11,penalty,144.11511828509998,0.0,0.0,101.1
10,6,24,11,HEA,163.90218369115544,0.0,0.0,151.0
10,6,24,11,commute,0.18155452825306673,100.0,35.48828125,127.6
10,6,24,11,cyclic,35.93155592793587,39.697265625,9.98046875,131.2
10,6,24,11,penalty,162.70177458122134,0.0,0.0,115.8
10,7,24,11,HEA,164.83531770700765,0.0,0.0,151.0
10,7,24,11,commute,0.19293532401943966,100.0,31.318359375,136.9
10,7,24,11,cyclic,24.699744160228455,59.482421875,0.0,138.4
10,7,24,11,penalty,162.4818770913494,0.009765625,0.009765625,132.8
11,1,27,12,HEA,116.53899720904951,0.0,0.0,151.0
11,1,27,12,commute,0.23164886855081163,100.0,1.81640625,24.3
11,1,27,12,cyclic,0.24529685154812828,99.94140625,0.0,27.5
11,1,27,12,penalty,141.1342831328706,0.0,0.0,32.5
11,2,27,12,HEA,166.358390447025,0.0,0.0,151.0
11,2,27,12,commute,0.21072806860446486,100.0,7.998046875,47.8
11,2,27,12,cyclic,0.315965344940925,99.677734375,0.0,51.6
11,2,27,12,penalty,114.42260511326246,0.0,0.0,49.2
11,3,27,12,HEA,165.86787809790164,0.0,0.0,151.0
11,3,27,12,commute,0.19003656022993648,100.0,20.8203125,66.0
11,3,27,12,cyclic,4.810184527302112,89.70703125,0.0,71.5
11,3,27,12,penalty,133.26910982270567,0.0,0.0,67.0
11,4,27,12,HEA,170.76282373493314,0.0,0.0,151.0
11,4,27,12,commute,0.17188404370658134,100.0,24.84375,89.9
11,4,27,12,cyclic,1.1143872754240811,89.39453125,0.0,102.4
11,4,27,12,penalty,151.4431416181844,0.0,0.0,82.8
11,5,27,12,HEA,168.96087167242683,0.0,0.0,151.0
11,5,27,12,commute,0.18930733968446473,100.0,17.216796875,104.1
11,5,27,12,cyclic,17.37950545825121,79.47265625,0.0,118.9
11,5,27,12,penalty,126.05398224658525,0.009765625,0.0,98.9
11,6,27,12,HEA,168.76654998267767,0.0,0.0,151.0
11,6,27,12,commute,0.1928525354394175,100.0,16.748046875,124.7
11,6,27,12,cyclic,30.888394386608077,49.39453125,0.0,129.1
11,6,27,12,penalty,158.88768063811474,0.0,0.0,113.9
11,7,27,12,HEA,169.50501371778378,0.0,0.0,151.0
11,7,27,12,commute,0.19397746478505445,100.0,13.994140625,141.2
11,7,27,12,cyclic,30.530602118472352,49.53125,0.0,138.8
11,7,27,12,penalty,162.49001304058527,0.0,0.0,128.9
