pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
7,1,5,28,16,HEA,3954.146400000166,0,0
7,2,5,28,16,HEA,3945.177150000167,0,0
7,3,5,28,16,HEA,3935.4696000001613,0,0
7,4,5,28,16,HEA,3949.315650000166,0,0
7,5,5,28,16,HEA,3954.655650000156,0,0
7,6,5,28,16,HEA,3985.9512000001723,0,0
7,7,5,28,16,HEA,3957.794200000158,0,0
7,8,5,28,16,HEA,3939.0263500001374,0,0
7,9,5,28,16,HEA,3947.183000000141,0,0
8,0,1,8,6,penalty,46.24429333333332,5.17,2.65
8,1,1,8,6,penalty,49.56951428571432,5.1,2.88
8,2,1,8,6,penalty,30.616638636363646,4.25,1.6199999999999999
8,3,1,8,6,penalty,28.58597142857144,12.82,4.040000000000001
8,4,1,8,6,penalty,35.471048275862046,17.330000000000002,5.72
8,5,1,8,6,penalty,63.02635000000002,14.89,4.55
8,6,1,8,6,penalty,34.001111904761906,3.9299999999999993,2.12
8,7,1,8,6,penalty,57.111342857142866,7.24,2.93
8,8,1,8,6,penalty,25.192692452830187,8.58,2.72
8,9,1,8,6,penalty,24.318495121951234,12.17,0
8,0,2,8,6,penalty,46.224146666666655,2.5500000000000003,2.36
8,1,2,8,6,penalty,36.44892499999999,15.68,5.3
8,2,2,8,6,penalty,30.031615909090917,4.3,1.9299999999999997
8,3,2,8,6,penalty,41.58845999999999,7.350000000000001,0.4
8,4,2,8,6,penalty,32.941958620689675,17.79,6.080000000000001
8,5,2,8,6,penalty,79.76723499999994,3.1,0.24000000000000002
8,6,2,8,6,penalty,33.11281428571428,7.22,2.0999999999999996
8,7,2,8,6,penalty,63.68672857142862,4.4,2.53
8,8,2,8,6,penalty,22.87542075471697,18.689999999999998,6.98
8,9,2,8,6,penalty,25.855341463414643,10.9,0
8,0,3,8,6,penalty,48.38336,7.300000000000001,0.88
8,1,3,8,6,penalty,52.24138928571432,3.3300000000000005,1.03
8,2,3,8,6,penalty,30.729831818181832,12.86,10.24
8,3,3,8,6,penalty,44.5510742857143,2.2,0.27
8,4,3,8,6,penalty,35.64705517241378,13.910000000000004,3.95
8,5,3,8,6,penalty,77.33051500000005,3.95,0.02
8,6,3,8,6,penalty,33.92318095238096,4.74,1.06
8,7,3,8,6,penalty,66.09395238095233,6.74,3.4000000000000004
8,8,3,8,6,penalty,24.198924528301884,7.93,0.5599999999999999
8,9,3,8,6,penalty,27.173087804878033,7.59,0
8,0,4,8,6,penalty,41.59690999999999,7.980000000000001,5.94
8,1,4,8,6,penalty,46.62273928571428,8.67,2.0900000000000003
8,2,4,8,6,penalty,29.774427272727248,4.8100000000000005,0.37
8,3,4,8,6,penalty,31.77101142857143,11.68,4.99
8,4,4,8,6,penalty,39.70753793103448,7.449999999999999,2.78
8,5,4,8,6,penalty,46.055005,19.840000000000003,12.410000000000002
8,6,4,8,6,penalty,31.654583333333346,3.34,2.05
8,7,4,8,6,penalty,51.39009047619046,14.05,6.65
8,8,4,8,6,penalty,28.309009433962252,2.69,1.59
8,9,4,8,6,penalty,26.564390243902448,14.499999999999998,0
8,0,5,8,6,penalty,37.21947000000002,17.880000000000003,5.37
8,1,5,8,6,penalty,47.63150714285718,1.3699999999999999,0.7299999999999999
8,2,5,8,6,penalty,26.4425659090909,15.340000000000003,6.21
8,3,5,8,6,penalty,34.19273714285711,14.17,6.409999999999999
8,4,5,8,6,penalty,45.37967241379309,6.34,2.58
8,5,5,8,6,penalty,68.16653000000004,5.779999999999999,2.67
8,6,5,8,6,penalty,33.688388095238125,0.8300000000000002,0.02
8,7,5,8,6,penalty,63.05270476190482,5.270000000000001,3.5500000000000003
8,8,5,8,6,penalty,26.880633962264188,6.3,1.1199999999999999
8,9,5,8,6,penalty,31.176826829268265,9.379999999999999,0
8,0,1,8,6,cyclic,24.373103333333336,22.02,6.59
8,1,1,8,6,cyclic,26.117460714285716,21.7,7.85
8,2,1,8,6,cyclic,16.758088636363638,21.7,7.61
8,3,1,8,6,cyclic,20.9652,21.71,7.85
8,4,1,8,6,cyclic,25.206582758620694,21.959999999999997,6.52
8,5,1,8,6,cyclic,36.33813500000001,21.97,7.920000000000001
8,6,1,8,6,cyclic,17.525264285714286,21.98,6.550000000000001
8,7,1,8,6,cyclic,34.62649047619048,21.93,7.960000000000001
8,8,1,8,6,cyclic,13.96878113207547,21.77,7.6
8,9,1,8,6,cyclic,17.888482926829266,21.93,0
8,0,2,8,6,cyclic,0.1720133333333333,99.98,0
8,1,2,8,6,cyclic,26.081164285714287,21.749999999999996,7.880000000000001
8,2,2,8,6,cyclic,13.600506818181822,37.260000000000005,0.69
8,3,2,8,6,cyclic,20.81007714285714,24.060000000000002,1.0499999999999998
8,4,2,8,6,cyclic,25.1441275862069,22.11,6.550000000000001
8,5,2,8,6,cyclic,43.358745,16.46,8.77
8,6,2,8,6,cyclic,0.7950666666666667,99.95,0
8,7,2,8,6,cyclic,34.6343,21.91,7.930000000000001
8,8,2,8,6,cyclic,11.986283018867923,33.98,26.229999999999997
8,9,2,8,6,cyclic,0.4672439024390244,99.98,0
8,0,3,8,6,cyclic,16.559616666666667,43.16,0.22
8,1,3,8,6,cyclic,22.587617857142853,34.040000000000006,26.21
8,2,3,8,6,cyclic,16.69517727272727,22.16,8.399999999999999
8,3,3,8,6,cyclic,20.665548571428577,18.6,3.1100000000000003
8,4,3,8,6,cyclic,25.229782758620683,22.169999999999998,8.1
8,5,3,8,6,cyclic,36.44670000000001,21.8,7.82
8,6,3,8,6,cyclic,15.26205714285714,33.84,25.840000000000003
8,7,3,8,6,cyclic,36.29380476190477,21.609999999999996,15.6
8,8,3,8,6,cyclic,15.53741320754717,13.819999999999999,7.969999999999999
8,9,3,8,6,cyclic,21.82532926829268,11.149999999999999,0
8,0,4,8,6,cyclic,24.350196666666662,23.05,3.32
8,1,4,8,6,cyclic,26.191850000000006,22.070000000000004,8.0
8,2,4,8,6,cyclic,18.229738636363642,16.76,2.74
8,3,4,8,6,cyclic,26.23226857142856,11.299999999999999,4.66
8,4,4,8,6,cyclic,30.75040344827587,18.79,5.7700000000000005
8,5,4,8,6,cyclic,38.33219,22.62,9.42
8,6,4,8,6,cyclic,20.758183333333335,10.110000000000001,1.7999999999999998
8,7,4,8,6,cyclic,35.27619047619049,22.799999999999997,16.499999999999996
8,8,4,8,6,cyclic,14.119233962264154,23.08,5.83
8,9,4,8,6,cyclic,14.776470731707319,34.540000000000006,0
8,0,5,8,6,cyclic,28.964393333333327,18.59,9.18
8,1,5,8,6,cyclic,35.87870357142858,6.75,1.94
8,2,5,8,6,cyclic,17.43947727272728,14.729999999999999,6.359999999999999
8,3,5,8,6,cyclic,22.17257142857144,23.040000000000003,20.19
8,4,5,8,6,cyclic,31.771110344827594,7.000000000000001,2.67
8,5,5,8,6,cyclic,38.66113999999998,17.740000000000002,4.15
8,6,5,8,6,cyclic,16.381864285714283,25.33,9.16
8,7,5,8,6,cyclic,39.25950000000001,12.21,6.09
8,8,5,8,6,cyclic,13.565135849056611,30.080000000000002,17.86
8,9,5,8,6,cyclic,22.65920975609757,12.889999999999999,0
8,0,1,8,6,commute,0.0,100.0,100.0
8,1,1,8,6,commute,0.17857142857142858,100.0,0
8,2,1,8,6,commute,0.0,100.0,100.0
8,3,1,8,6,commute,0.36488000000000004,100.0,15.36
8,4,1,8,6,commute,6.551724137928016e-05,100.0,99.99
8,5,1,8,6,commute,0.26605999999999996,100.0,19.42
8,6,1,8,6,commute,0.00023571428571432848,100.0,99.97
8,7,1,8,6,commute,0.3698761904761904,100.0,24.759999999999998
8,8,1,8,6,commute,0.0,100.0,100.0
8,9,1,8,6,commute,0.09763170731707309,100.0,0
8,0,2,8,6,commute,0.00023333333333326324,100.0,99.86
8,1,2,8,6,commute,0.12748928571428575,99.99999999999999,42.25
8,2,2,8,6,commute,0.030090909090909047,100.0,94.0
8,3,2,8,6,commute,0.19197142857142852,100.0,50.239999999999995
8,4,2,8,6,commute,6.551724137928016e-05,100.0,99.99
8,5,2,8,6,commute,0.21749000000000002,100.0,29.209999999999997
8,6,2,8,6,commute,0.0,100.0,100.0
8,7,2,8,6,commute,0.192209523809524,99.99999999999999,60.69
8,8,2,8,6,commute,0.0001867924528300885,100.0,99.97
8,9,2,8,6,commute,0.09925853658536589,100.0,0
8,0,3,8,6,commute,0.00011666666666663162,100.0,99.97
8,1,3,8,6,commute,0.11018928571428585,100.0,43.55
8,2,3,8,6,commute,0.0003636363636364851,100.0,99.92
8,3,3,8,6,commute,0.14069714285714272,100.0,65.63
8,4,3,8,6,commute,0.00013448275862062124,100.0,99.97
8,5,3,8,6,commute,0.12283000000000008,100.0,65.35
8,6,3,8,6,commute,2.14285714284369e-05,100.0,99.99
8,7,3,8,6,commute,0.14512857142857138,99.99999999999999,70.74000000000001
